maxord,nonlin_conv_coef,max_conv_fails,maxl,epslin,runtime
1,0.584591,43,297,0.868707,34.602313
2,0.806275,40,77,0.693594,9.973054
3,0.0115,7,312,0.062494,3.382785
1,0.097516,14,10,0.215755,6.446099
1,0.611068,14,149,0.63925,14.660203
1,0.662907,47,54,0.567634,11.406035
2,0.333091,37,200,0.487328,1.704408
3,0.247858,10,432,0.861754,2.192076
2,0.531442,45,109,0.345436,1.478777
1,0.577955,16,99,0.625112,11.869208
2,0.180244,17,116,0.264365,2.186222
2,0.721634,49,429,0.039636,3.144735
2,0.564042,17,237,0.100591,2.194723
3,0.365876,20,285,0.321147,1.28258
4,0.263802,16,234,0.775362,1.59968
4,0.278378,8,171,0.052009,1.706797
2,0.862371,28,63,0.306487,1.157669
3,0.356081,16,459,0.428656,2.410858
2,0.316033,20,303,0.288987,2.157284
4,0.142841,42,30,0.787108,1.331764
2,0.173689,7,180,0.235221,2.225531
3,0.290408,6,161,0.782322,1.486849
4,0.706702,23,215,0.204315,1.702201
1,0.559599,42,357,0.536391,40.191275
4,0.797943,20,15,0.585074,10.343692
2,0.486159,50,290,0.404905,1.698477
4,0.297628,13,481,0.758298,2.909765
3,0.021967,22,85,0.137043,2.622885
4,0.058138,27,5,0.252879,4.289999
3,0.516727,30,139,0.543038,1.272462
1,0.323638,33,489,0.492377,19.752615
5,0.523091,46,197,0.870427,23.388731
4,0.501741,15,415,0.027453,1.750807
4,0.637339,7,341,0.447401,1.723317
3,0.439848,19,467,0.443273,2.298765
3,0.003289,25,183,0.285354,3.126362
3,0.386509,47,384,0.401764,2.283199
1,0.624964,31,257,0.810293,31.69671
5,0.553029,43,264,0.450593,1.496053
4,0.428514,8,229,0.312271,1.763778
3,0.064553,19,320,0.739113,1.316767
2,0.68339,18,309,0.65125,6.231149
4,0.852505,36,443,0.003883,2.191371
1,0.842359,9,74,0.30028,11.08079
4,0.036611,25,173,0.683678,1.39132
4,0.450105,34,132,0.419058,1.410948
2,0.507975,38,352,0.721782,1.837485
5,0.207622,38,378,0.144472,1.508192
4,0.192986,44,283,0.139028,1.672322
4,0.421408,41,241,0.090771,1.686402
2,0.114151,24,495,0.726742,2.855211
3,0.617013,22,10,0.375117,1.049814
3,0.275855,30,127,0.763477,1.449182
4,0.090822,19,306,0.590152,1.505221
3,0.81139,29,491,0.62394,49.395691
5,0.479215,14,108,0.178114,1.432773
3,0.76756,37,208,0.605697,3.712049
1,0.374524,9,392,0.52286,14.878633
3,0.162312,5,97,0.890293,1.620077
5,0.396242,18,389,0.885329,2.095116
3,0.465449,3,60,0.348467,1.393235
5,0.074367,7,205,0.084034,1.61888
5,0.816173,26,81,0.508027,1.99029
4,0.243507,36,425,0.10586,2.017172
4,0.846068,32,337,0.056474,1.431729
2,0.892724,23,478,0.73494,138.337889
1,0.691841,21,58,0.800494,12.02316
3,0.822242,21,272,0.38415,2.508798
3,0.759532,37,301,0.470017,1.520492
5,0.032396,43,23,0.031072,2.940737
2,0.419848,33,164,0.336597,1.620809
4,0.069274,26,440,0.503745,1.954463
2,0.835652,35,166,0.819597,36.473849
4,0.496261,15,51,0.478377,1.27319
3,0.883629,49,124,0.2299,1.480236
5,0.545429,24,366,0.380365,1.912781
3,0.152257,4,34,0.079431,1.597584
3,0.459304,42,412,0.558586,2.036614
2,0.30631,21,461,0.805075,2.255224
5,0.014567,27,226,0.556789,1.74517
3,0.574998,12,269,0.574069,1.458005
3,0.802835,24,45,0.435287,1.037577
1,0.343352,48,358,0.326857,14.981073
5,0.655359,11,242,0.611538,1.57281
4,0.550908,46,452,0.834437,5.11835
4,0.869583,43,475,0.391689,2.394832
4,0.300579,50,49,0.242107,1.38218
3,0.878701,6,346,0.130703,1.516549
2,0.158033,32,70,0.551959,1.784684
4,0.227232,13,261,0.709446,1.655509
4,0.594505,34,154,0.155254,1.537134
3,0.697269,32,86,0.826985,17.654037
3,0.046524,45,194,0.877348,1.689271
5,0.70831,12,26,0.200404,1.27666
2,0.686958,34,372,0.194466,2.163778
3,0.770654,29,402,0.221877,2.115407
5,0.872007,31,434,0.073095,1.84839
3,0.200375,40,444,0.706797,2.349248
3,0.651182,4,147,0.170013,1.256602
4,0.672971,29,191,0.112394,1.477027
2,0.645435,38,36,0.01453,2.652124
1,0.286839,44,407,0.189478,20.69465
4,0.832562,39,377,0.700998,79.02347
4,0.618927,35,18,0.580829,0.9927
3,0.324902,36,423,0.011208,2.851785
3,0.511613,12,132,0.018367,2.067382
5,0.434172,11,333,0.676155,1.760289
2,0.392456,47,28,0.828841,1.025927
4,0.538082,40,294,0.854495,2.498053
2,0.744342,12,281,0.519296,1.568308
4,0.774209,21,252,0.116425,1.650037
2,0.11036,9,344,0.357124,2.684498
4,0.484188,31,136,0.467984,1.354753
3,0.739162,30,420,0.594815,6.861636
1,0.381855,41,225,0.22606,9.33911
2,0.265566,49,186,0.332382,1.919676
2,0.785318,33,473,0.846799,135.236719
5,0.34138,45,325,0.408958,1.669062
5,0.34979,48,382,0.635699,1.971995
4,0.787381,24,144,0.533282,1.536698
4,0.146476,29,323,0.749444,1.821973
2,0.445448,23,450,0.161957,2.721735
3,0.898034,35,95,0.259257,1.489558
4,0.60496,15,276,0.656135,1.639049
2,0.73604,42,211,0.364021,1.382415
5,0.406952,22,400,0.458908,2.115557
1,0.050391,27,464,0.89651,25.418033
2,0.102947,11,43,0.668149,1.849561
5,0.754429,28,484,0.24957,2.40675
1,0.23617,46,499,0.369459,26.565443
2,0.412033,45,90,0.120977,2.070145
3,0.079633,25,249,0.842831,1.56185
5,0.252495,17,120,0.483325,1.355702
3,0.671958,39,370,0.423427,1.873475
4,0.174945,38,67,0.769262,1.305498
1,0.221938,10,361,0.616457,14.606352
2,0.089873,5,267,0.750153,2.113614
2,0.124772,10,248,0.278136,2.548323
3,0.027966,35,408,0.664684,2.205033
2,0.213474,15,219,0.045393,3.085536
2,0.5932,9,349,0.067576,2.76025
2,0.187745,5,156,0.646173,1.796915
1,0.470811,40,178,0.687407,16.715911
2,0.633719,4,105,0.298784,1.392638
4,0.368473,6,316,0.796411,1.710179
1,0.728567,18,455,0.273668,15.820996
2,0.229989,26,115,0.182937,2.26417
4,0.129394,27,396,0.714801,2.113644
4,0.137112,4,330,0.163576,1.756784
2,0.715211,48,217,0.512519,1.281358
5,0.188376,3,319,0.412731,1.750841
3,0.469978,3,387,0.745043,1.988097
5,0.661736,3,319,1e-05,5.387308
2,0.9,50,3,0.396764,1.8121
3,0.587784,50,500,0.274816,2.634191
4,0.655568,50,500,0.505217,2.426445
5,0.9,3,500,0.337247,2.353107
2,0.398803,3,427,0.674429,2.045063
5,1e-05,3,500,1e-05,13.808455
5,1e-05,3,139,0.9,4.859213
