maxord,nonlin_conv_coef,max_conv_fails,maxl,epslin,runtime
3,0.606807,50,225,0.353876,1.475308
3,0.447579,50,321,0.9,1.859674
5,0.442286,3,3,0.359532,100000000.0
4,0.095127,47,237,0.705301,1.521898
4,0.268295,38,263,0.885299,1.601243
3,0.383285,28,164,0.757779,1.209283
4,0.311716,21,64,0.615271,1.347347
4,0.131718,12,164,0.62,1.537953
4,0.03822,20,192,0.799998,1.211567
3,0.218218,30,93,0.789556,1.218716
3,0.398216,34,125,0.73092,1.161148
3,0.270774,25,224,0.705514,1.534388
4,0.090776,15,187,0.716133,1.589219
4,0.254519,25,235,0.713233,1.618388
3,0.434517,34,135,0.739717,1.161829
3,0.254519,44,93,0.724395,1.401599
4,0.074521,34,193,0.749964,1.627007
5,0.25304,27,209,0.729438,1.608527
4,0.433038,36,109,0.693437,1.199973
3,0.25304,32,164,0.715911,1.348277
3,0.101948,30,157,0.785257,1.634494
3,0.253584,39,169,0.649105,1.481626
4,0.217655,30,70,0.829103,1.133212
5,0.130333,21,169,0.728112,1.479408
2,0.445429,6,15,0.778953,1.105797
5,0.273086,48,336,0.525303,1.7861
4,0.101702,39,237,0.57876,1.19477
3,0.2817,30,137,0.758758,1.527281
4,0.160546,39,91,0.865974,1.426419
4,0.283471,30,190,0.747467,1.462071
4,0.103473,40,254,0.679107,1.164638
3,0.283471,45,250,0.705469,1.685013
4,0.393727,35,183,0.834591,1.188279
4,0.213729,26,91,0.734649,1.359461
4,0.139924,35,161,0.728516,1.475937
4,0.153687,45,215,0.776854,1.271586
4,0.239413,47,141,0.739507,1.555031
3,0.099692,38,82,0.667477,1.503038
4,0.272865,31,182,0.808506,1.334005
4,0.27799,40,281,0.644167,1.773921
4,0.26051,31,244,0.742119,1.619767
3,0.243724,29,145,0.858211,1.363361
4,0.093389,37,238,0.75924,1.11025
4,0.182655,32,224,0.646676,1.392956
4,0.287736,41,150,0.793048,1.365219
4,0.107738,44,203,0.711225,1.610527
3,0.317125,15,115,0.803068,1.237493
4,0.093088,49,239,0.345305,1.519184
4,0.016819,47,151,0.525303,1.888585
5,0.196817,38,236,0.705301,1.401579
4,0.105315,28,276,0.780096,1.686048
4,0.081333,38,255,0.600098,1.349119
4,0.152647,47,186,0.650782,1.58089
4,0.045626,43,234,0.719239,1.596552
4,0.023902,36,224,0.684353,1.729072
4,0.181999,41,228,0.626479,1.512796
4,0.243779,32,217,0.639985,1.702955
5,0.063781,32,224,0.724429,1.446701
5,0.113023,41,222,0.605181,1.283017
4,0.137304,47,210,0.653977,1.519313
4,0.142665,49,247,0.717168,1.543949
5,0.065173,39,251,0.624321,1.81222
4,0.055633,34,177,0.617775,1.49165
4,0.228624,25,209,0.683717,1.475191
4,0.132048,34,246,0.645689,1.59333
4,0.034755,44,213,0.690765,1.62287
4,0.203934,49,229,0.706047,1.731901
4,0.104393,44,234,0.641903,1.513851
4,0.137127,25,214,0.62307,1.61391
4,0.049001,50,324,0.407948,1.586308
4,0.094473,41,290,0.587946,1.549151
3,0.110476,31,190,0.649337,1.082804
4,0.054752,37,104,0.669712,1.427738
4,0.121541,45,203,0.489714,1.832186
4,0.119445,39,208,0.63034,1.128906
4,0.082494,41,170,0.762836,1.651842
4,0.071268,44,205,0.626782,1.310128
4,0.072968,43,123,0.449394,1.472451
4,0.11123,39,201,0.403007,1.152518
4,0.090089,41,117,0.583005,1.283049
4,0.079567,38,216,0.466356,1.580089
4,0.11221,46,246,0.646354,1.16676
4,0.071443,37,217,0.756776,1.186467
3,0.07374,43,118,0.576778,1.334754
4,0.131577,35,125,0.39678,1.314113
4,0.098718,40,224,0.576778,1.337843
4,0.063944,48,156,0.704845,1.130815
3,0.100965,38,77,0.54288,1.427382
4,0.091279,41,177,0.515128,1.209817
4,0.079041,39,172,0.580056,1.393005
3,0.085076,32,115,0.443072,1.350994
5,0.125059,46,350,0.587946,1.610858
5,0.146103,37,250,0.767944,1.628348
4,0.163353,33,151,0.635781,1.351236
3,0.209687,42,132,0.70976,1.655399
3,0.23802,36,33,0.619244,1.146424
4,0.129936,42,19,0.586819,0.979863
4,0.161441,33,70,0.63646,0.994901
4,0.149877,42,169,0.695944,1.482751
3,0.092808,35,269,0.691855,1.781626
3,0.139112,27,169,0.671085,1.419944
3,0.30301,35,70,0.664926,1.494533
4,0.21879,32,169,0.699029,1.561124
4,0.038792,28,129,0.660244,1.612108
4,0.106238,29,81,0.67379,1.078331
3,0.229689,39,120,0.622006,1.539442
3,0.055847,35,130,0.683511,1.588401
3,0.21622,44,40,0.614506,1.379461
4,0.042394,37,139,0.771457,1.570741
4,0.222392,46,238,0.591459,1.571495
3,0.089928,37,139,0.498658,1.215699
3,0.112271,32,95,0.569626,1.55626
2,0.265074,24,15,0.592065,1.246897
5,0.144389,47,250,0.767944,1.552164
4,0.324387,37,151,0.587946,1.390689
4,0.354183,37,117,0.407948,1.570495
3,0.174185,46,216,0.458098,1.353571
4,0.250286,37,201,0.638096,1.597655
3,0.267372,35,124,0.589348,1.571454
4,0.356308,45,197,0.556258,1.504914
3,0.230469,43,262,0.501261,1.572937
2,0.123426,44,162,0.681259,1.911168
2,0.303424,34,122,0.501261,1.563989
3,0.278086,44,111,0.67769,1.443755
3,0.328708,47,210,0.640374,1.734823
3,0.302694,37,242,0.460376,1.582212
4,0.301559,44,143,0.331291,1.388102
3,0.121561,35,134,0.481201,1.178448
2,0.295835,40,209,0.506589,1.730142
2,0.328124,49,277,0.54213,1.737402
3,0.148126,40,178,0.492713,1.778846
3,0.328124,33,213,0.672711,1.442165
4,0.224051,49,318,0.345305,1.578061
4,0.148126,42,273,0.53277,1.605527
4,0.299554,49,367,0.705301,2.147004
4,0.282031,39,198,0.275152,1.373833
2,0.445072,33,115,0.414907,1.437817
3,0.148783,41,210,0.466544,1.586929
4,0.162961,49,435,0.705301,1.763613
4,0.004783,49,375,0.203925,2.436164
