maxord,nonlin_conv_coef,max_conv_fails,maxl,epslin,runtime
1,0.9,3,3,0.9,1.465307
1,0.592071,3,3,0.9,1.557747
2,1e-05,49,500,0.9,2.532919
3,0.788581,50,443,0.00208,0.815116
5,1e-05,50,328,0.9,0.744413
4,0.181348,50,500,0.9,1.321758
4,0.9,3,3,0.9,1.682332
4,0.221881,50,500,0.9,1.29513
3,0.702277,50,309,0.188233,0.497468
1,1e-05,3,165,0.436207,6.444733
4,0.9,50,3,0.153623,0.174868
2,0.9,50,273,1e-05,1.70852
2,0.497165,3,500,1e-05,2.68278
2,0.601118,50,3,0.625578,0.345935
5,1e-05,3,500,0.475046,0.988573
5,0.43604,50,3,1e-05,0.226692
3,0.496619,3,3,0.9,0.439782
3,0.396407,50,3,0.9,0.264991
4,0.9,50,3,0.403413,0.477729
4,0.9,50,3,0.35591,0.33753
4,0.456913,50,3,1e-05,0.218903
5,0.9,50,182,1e-05,0.637278
3,0.9,3,3,1e-05,100000000.0
4,0.095127,47,237,0.705301,0.310154
4,0.268295,38,263,0.885299,0.592198
3,0.383285,28,164,0.757779,0.342737
4,0.311716,21,64,0.615271,0.239361
4,0.131718,12,164,0.62,0.269806
4,0.03822,20,192,0.799998,0.347244
3,0.218218,30,93,0.789556,0.278019
3,0.398216,34,125,0.73092,0.270663
3,0.270774,25,224,0.705514,0.45368
3,0.383269,28,164,0.757762,0.339322
4,0.203271,38,64,0.642167,0.174323
3,0.023273,28,141,0.789087,0.311303
3,0.203271,19,41,0.850245,0.25146
4,0.383269,28,59,0.672323,0.224875
3,0.203271,20,158,0.687997,0.308751
3,0.023273,30,258,0.808447,0.416923
2,0.203271,39,158,0.689556,0.362248
3,0.332046,41,92,0.69338,0.268254
4,0.512044,43,192,0.710114,0.507181
4,0.332046,42,164,0.816139,0.33553
4,0.090776,15,187,0.716133,0.344458
4,0.254519,25,235,0.713233,0.45751
3,0.434517,34,135,0.739717,0.265682
3,0.254519,44,93,0.724395,0.285788
4,0.074521,34,193,0.749964,0.321035
5,0.25304,27,209,0.729438,0.415069
4,0.433038,36,109,0.693437,0.252694
3,0.25304,32,164,0.715911,0.343367
3,0.101948,30,157,0.785257,0.265063
3,0.253584,39,169,0.649105,0.360969
4,0.217655,30,70,0.829103,0.255057
5,0.130333,21,169,0.728112,0.335494
2,0.445429,6,15,0.778953,0.19676
5,0.273086,48,336,0.525303,0.651145
4,0.101702,39,237,0.57876,0.316909
3,0.2817,30,137,0.758758,0.322531
4,0.160546,39,91,0.865974,0.258828
4,0.283471,30,190,0.747467,0.372761
4,0.103473,40,254,0.679107,0.384065
3,0.283471,45,250,0.705469,0.508052
4,0.393727,35,183,0.834591,0.354145
4,0.213729,26,91,0.734649,0.241271
4,0.139924,35,161,0.728516,0.302138
4,0.153687,45,215,0.776854,0.469624
4,0.239413,47,141,0.739507,0.326029
3,0.099692,38,82,0.667477,0.183733
4,0.272865,31,182,0.808506,0.391578
4,0.27799,40,281,0.644167,0.561597
3,0.182401,28,150,0.775617,0.337455
4,0.26051,31,244,0.742119,0.492364
3,0.243724,29,145,0.858211,0.328439
4,0.093389,37,238,0.75924,0.377978
4,0.182655,32,224,0.646676,0.500821
4,0.287736,41,150,0.793048,0.35891
4,0.107738,44,203,0.711225,0.356048
3,0.317125,15,115,0.803068,0.283881
4,0.093088,49,239,0.345305,0.348837
4,0.016819,47,151,0.525303,0.266887
5,0.196817,38,236,0.705301,0.459228
4,0.105315,28,276,0.780096,0.414824
4,0.081333,38,255,0.600098,0.337616
4,0.152647,47,186,0.650782,0.299128
4,0.045626,43,234,0.719239,0.347339
4,0.023902,36,224,0.684353,0.33663
4,0.181999,41,228,0.626479,0.420742
4,0.243779,32,217,0.639985,0.459768
5,0.063781,32,224,0.724429,0.370987
5,0.113023,41,222,0.605181,0.387156
4,0.137304,47,210,0.653977,0.396513
4,0.142665,49,247,0.717168,0.337697
5,0.065173,39,251,0.624321,0.367947
4,0.055633,34,177,0.617775,0.281427
4,0.228624,25,209,0.683717,0.394945
4,0.132048,34,246,0.645689,0.520603
4,0.034755,44,213,0.690765,0.300633
4,0.203934,49,229,0.706047,0.42167
4,0.104393,44,234,0.641903,0.290988
4,0.137127,25,214,0.62307,0.475466
4,0.049001,50,324,0.407948,0.421991
4,0.094473,41,290,0.587946,0.457141
