1,1,0.129936,42,19,0.586819
5,2,0.445429,6,15,0.778953
20,4,0.091279,41,177,0.515128
40,4,0.049001,50,324,0.407948
50,4,0.082494,41,170,0.762836
100,4,0.074521,34,193,0.749964
