maxord,nonlin_conv_coef,max_conv_fails,maxl,epslin,runtime1,0.584591,43,297,0.868707,53.610077
2,0.806275,40,77,0.693594,433.529154
3,0.0115,7,312,0.062494,15.647427
1,0.097516,14,10,0.215755,44.094815
1,0.611068,14,149,0.63925,26.153065
1,0.662907,47,54,0.567634,25.596931
2,0.333091,37,200,0.487328,9.132711
3,0.247858,10,432,0.861754,10.493516
2,0.531442,45,109,0.345436,9.289574
1,0.577955,16,99,0.625112,24.757144
2,0.180244,17,116,0.264365,14.024782
2,0.721634,49,429,0.039636,16.507942
2,0.564042,17,237,0.100591,13.435787
3,0.365876,20,285,0.321147,11.996478
4,0.263802,16,234,0.775362,9.045752
4,0.278378,8,171,0.052009,7.229432
2,0.862371,28,63,0.306487,8.559141
3,0.356081,16,459,0.428656,19.128738
2,0.316033,20,303,0.288987,11.886751
4,0.142841,42,30,0.787108,11.407333
2,0.173689,7,180,0.235221,14.520275
3,0.290408,6,161,0.782322,9.299976
4,0.706702,23,215,0.204315,9.968544
1,0.559599,42,357,0.536391,34.940726
4,0.797943,20,15,0.585074,31.676016
2,0.486159,50,290,0.404905,9.620415
4,0.297628,13,481,0.758298,12.108938
3,0.021967,22,85,0.137043,27.643055
4,0.058138,27,5,0.252879,35.515141
3,0.516727,30,139,0.543038,19.260958
1,0.323638,33,489,0.492377,51.431577
5,0.523091,46,197,0.870427,14.525945
4,0.501741,15,415,0.027453,9.14481
4,0.637339,7,341,0.447401,99.004037
3,0.439848,19,467,0.443273,10.419666
3,0.003289,25,183,0.285354,14.56321
3,0.386509,47,384,0.401764,16.111431
1,0.624964,31,257,0.810293,33.892836
5,0.553029,43,264,0.450593,9.540022
4,0.428514,8,229,0.312271,12.71656
3,0.064553,19,320,0.739113,8.514277
2,0.68339,18,309,0.65125,17.568024
4,0.852505,36,443,0.003883,9.394344
1,0.842359,9,74,0.30028,26.547004
4,0.036611,25,173,0.683678,8.562174
4,0.450105,34,132,0.419058,8.333521
2,0.507975,38,352,0.721782,12.911151
5,0.207622,38,378,0.144472,9.585702
4,0.192986,44,283,0.139028,8.906958
4,0.421408,41,241,0.090771,11.367887
2,0.114151,24,495,0.726742,13.154017
3,0.617013,22,10,0.375117,28.244431
3,0.275855,30,127,0.763477,24.728414
4,0.090822,19,306,0.590152,10.995751
